cnty_fips,display_name,DM_prev,DM_prev_rank,obesity_prevalence,obesity_rank,physical_inactivity_prevalence,physical_inactivity_prevalence_rank,HTN_nonadherence,HTN_nonadherence_rank,prev_hd,prev_hd_rank,total_cost,combined_rank,health_rank,health_rank_round,percentage unemployed,percentage_unemployed
19103,"""Johnson, (IA)""",6.5,130,23.7,188,18.2,213,18.1,120,14.4,133,14154,784,0.051,0.05,2.3,6.4
27019,"""Carver, (MN)""",6.1,80,21.8,95,15.9,69,19.2,234,16.3,407,13446,885,0.058,0.06,2.9,3.1
55025,"""Dane, (WI)""",6.6,152,24.3,215,16,77,17.3,51,16.3,401,14550,896,0.058,0.06,2.2,5.4
27109,"""Olmsted, (MN)""",6.5,138,26.6,412,18.2,216,16.7,16,14.4,130,14838,912,0.060,0.06,2.8,4.2
50025,"""Windham, (VT)""",6.3,99,23.1,150,18.6,248,19.2,235,15.2,216,17493,948,0.062,0.06,3.6,5.1
30095,"""Stillwater, (MT)""",5.7,52,21.7,91,20.6,447,20.2,363,13.2,47,13660,1000,0.065,0.07,3.3,11.6
6041,"""Marin, (CA)""",5.3,33,17.4,16,11.5,8,21.4,545,16.5,470,15025,1072,0.070,0.07,2.6,6.2
50023,"""Washington, (VT)""",7,256,23.2,159,16.5,109,19.4,263,16,336,16595,1123,0.073,0.07,2.7,3.9
50007,"""Chittenden, (VT)""",6,70,19.2,37,15.3,49,19.9,325,17.2,655,15241,1136,0.074,0.07,2.2,4.3
27053,"""Hennepin, (MN)""",6.8,195,22.3,113,16.7,115,20.2,356,16.2,384,18525,1163,0.076,0.08,3.2,5.8
30031,"""Gallatin, (MT)""",4.7,16,15.7,10,13.6,26,23.7,1030,14.3,120,14155,1202,0.078,0.08,2.9,11.2
8069,"""Larimer, (CO)""",4.8,20,17.7,19,13.1,21,23.6,1008,14.4,136,16412,1204,0.079,0.08,2,7
50027,"""Windsor, (VT)""",6.9,231,24.9,248,18.6,249,19.2,236,15.5,262,21414,1226,0.080,0.08,2.7,4.8
30063,"""Missoula, (MT)""",6.1,81,22.6,128,15,41,22.1,673,16.1,364,13740,1287,0.084,0.08,3.1,12.1
50001,"""Addison, (VT)""",6.5,129,23.2,157,17.8,174,19.6,291,16.9,554,14374,1305,0.085,0.09,2.5,4.9
27139,"""Scott, (MN)""",5.8,58,24.6,233,18,199,19,213,17.1,611,17021,1314,0.086,0.09,3,4.1
8077,"""Mesa, (CO)""",5.5,43,22.2,109,16.5,108,23.8,1052,13.6,67,13954,1379,0.090,0.09,3.3,10.8
56039,"""Teton, (WY)""",4.6,12,13.1,2,11.8,9,25,1287,13.9,80,12049,1390,0.091,0.09,3.8,15.3
50015,"""Lamoille, (VT)""",6.2,90,25.4,281,19.2,292,20.1,347,16.2,383,15871,1393,0.091,0.09,4,5.4
27163,"""Washington, (MN)""",7,258,24.6,234,16.2,88,19.5,281,17,587,16128,1448,0.094,0.09,3.1,3.4
8049,"""Grand, (CO)""",4.8,18,16.4,12,13.4,23,24.6,1202,15.1,206,12544,1461,0.095,0.10,2.3,9.2
46081,"""Lawrence, (SD)""",6.8,204,26,348,17.3,148,21.4,546,15.2,218,15282,1464,0.096,0.10,3,11.8
27031,"""Cook, (MN)""",6.6,162,29.3,943,17.2,142,17.8,89,14.7,161,15352,1497,0.098,0.10,3.6,8.4
8053,"""Hinsdale, (CO)""",4.8,21,19.6,41,14.8,38,25.2,1329,13.8,77,4731,1506,0.098,0.10,2,11.8
8057,"""Jackson, (CO)""",5.2,30,21.1,69,19,278,23.8,1054,13.9,79,9428,1510,0.099,0.10,1.8,16.7
23015,"""Lincoln, (ME)""",6.9,227,24.2,209,18.8,261,20.3,376,16.6,492,17580,1565,0.102,0.10,3.4,12.6
23023,"""Sagadahoc, (ME)""",7.6,501,25.4,287,18.8,262,20.2,359,14.8,167,18625,1576,0.103,0.10,2.8,8
8107,"""Routt, (CO)""",3.6,2,13.3,3,11.9,10,26.1,1532,12.8,34,11103,1581,0.103,0.10,2.8,8.1
27037,"""Dakota, (MN)""",7.1,297,26.8,447,17.5,162,19,212,16.5,469,18038,1587,0.104,0.10,3,4.1
8019,"""Clear Creek, (CO)""",6.3,98,18.3,26,16.9,121,25.1,1316,12.6,29,11493,1590,0.104,0.10,2.1,6.3
49019,"""Grand, (UT)""",6.1,79,21.4,80,18.9,270,24.1,1114,13.2,49,17657,1592,0.104,0.10,3.7,16.2
53033,"""King, (WA)""",6.7,173,21.5,84,13.7,28,23.6,1009,15.8,300,17433,1594,0.104,0.10,3.1,6.5
27159,"""Wadena, (MN)""",7.2,344,28.5,760,19.4,315,17.9,104,13.8,75,14764,1598,0.104,0.10,4.2,6
8115,"""Sedgwick, (CO)""",6.2,88,21.3,78,18.4,228,24.1,1111,14.1,101,22713,1606,0.105,0.10,1.9,11.2
8117,"""Summit, (CO)""",4.5,9,14.8,7,10,2,25.9,1490,14.1,102,11685,1610,0.105,0.11,2.6,11.9
30037,"""Golden Valley, (MT)""",6.5,132,24.7,238,20.5,430,20.5,407,16.3,410,6014,1617,0.106,0.11,3.9,17.8
16001,"""Ada, (ID)""",7,259,25.3,275,15.4,54,22,650,16.3,413,16231,1651,0.108,0.11,2.5,9.5
30029,"""Flathead, (MT)""",6.1,78,21.1,73,17.8,173,23.4,963,16.1,366,15059,1653,0.108,0.11,4.8,13.5
27057,"""Hubbard, (MN)""",6.3,105,26.8,443,20,372,18.5,153,17,584,13435,1657,0.108,0.11,4.5,6.4
30097,"""Sweet Grass, (MT)""",6.8,202,25.8,324,20,370,20.5,406,16.1,359,16919,1661,0.108,0.11,2.3,13.1
55029,"""Door, (WI)""",7,263,26.9,462,20.6,450,17.1,36,16.5,459,15187,1670,0.109,0.11,2.9,6.9
27045,"""Fillmore, (MN)""",7.1,291,24.5,231,23.4,975,16.6,14,14.7,160,18923,1671,0.109,0.11,3,6.6
30081,"""Ravalli, (MT)""",5.9,65,24.1,204,20.9,485,22.9,851,13.8,76,13131,1681,0.110,0.11,4.1,19.3
19191,"""Winneshiek, (IA)""",6.4,119,28.8,830,21.3,566,16.3,7,14.8,165,15220,1687,0.110,0.11,2.4,4.4
30067,"""Park, (MT)""",6.4,108,22.9,141,20.1,381,23.2,918,14.5,146,14236,1694,0.111,0.11,3.5,14.7
30059,"""Meagher, (MT)""",5.7,53,22.9,140,22.1,695,22.5,758,13.5,59,27695,1705,0.111,0.11,4.3,17
33009,"""Grafton, (NH)""",7.2,334,23.8,191,20.3,408,19.5,282,16.6,490,16506,1705,0.111,0.11,2.5,9.7
