FIPS,display_name,Rank,State,Per capita income,median household income,median family income,population,number of households
45001,"""Abbeville, (SC)""",2750,South Carolina,"$18,134 ","$35,947 ","$47,211 ","25,233","9,809"
22001,"""Acadia, (LA)""",2357,Louisiana,"$19,910 ","$37,587 ","$46,159 ","61,847","22,527"
51001,"""Accomack, (VA)""",1634,Virginia,"$22,703 ","$39,328 ","$48,708 ","33,289","14,333"
16001,"""Ada, (ID)""",571,Idaho,"$27,452 ","$55,210 ","$67,641 ","401,673","151,600"
19001,"""Adair, (IA)""",930,Iowa,"$25,564 ","$47,892 ","$60,232 ","7,588","3,295"
29001,"""Adair, (KY)""",2875,Kentucky,"$17,371 ","$32,524 ","$45,463 ","18,696","7,241"
21001,"""Adair, (MO)""",2520,Missouri,"$19,258 ","$34,733 ","$54,609 ","25,573","9,648"
40001,"""Adair, (OK)""",3061,Oklahoma,"$15,116 ","$32,556 ","$39,019 ","22,427","8,046"
31001,"""Adams, (CO)""",1233,Colorado,"$24,195 ","$56,270 ","$64,611 ","452,030","152,803"
42001,"""Adams, (IA)""",1940,Idaho,"$21,555 ","$35,434 ","$42,978 ","3,937","1,707"
38001,"""Adams, (ID)""",1229,Illinois,"$24,217 ","$45,073 ","$58,992 ","67,152","26,912"
16003,"""Adams, (IL)""",2305,Indiana,"$20,160 ","$46,695 ","$56,345 ","34,424","12,127"
8001,"""Adams, (IN)""",1359,Iowa,"$23,707 ","$45,871 ","$56,552 ","3,973","1,745"
18001,"""Adams, (MS)""",2852,Mississippi,"$17,544 ","$27,381 ","$36,044 ","32,308","12,087"
55001,"""Adams, (ND)""",929,Nebraska,"$25,571 ","$49,440 ","$65,286 ","31,367","12,578"
19003,"""Adams, (NE)""",248,North Dakota,"$31,502 ","$47,798 ","$65,859 ","2,328","1,101"
17001,"""Adams, (OH)""",2729,Ohio,"$18,235 ","$35,678 ","$43,771 ","28,406","10,816"
39001,"""Adams, (PA)""",600,Pennsylvania,"$27,284 ","$59,492 ","$69,551 ","101,496","38,141"
28001,"""Adams, (WA)""",2931,Washington,"$16,940 ","$43,926 ","$48,121 ","18,802","5,738"
53001,"""Adams, (WI)""",1775,Wisconsin,"$22,196 ","$44,897 ","$51,949 ","20,741","8,278"
50001,"""Addison, (VT)""",425,Vermont,"$28,722 ","$57,565 ","$69,157 ","36,811","14,164"
45003,"""Aiken, (SC)""",1099,South Carolina,"$24,769 ","$44,509 ","$56,150 ","161,710","63,388"
27001,"""Aitkin, (MN)""",1060,Minnesota,"$24,939 ","$41,617 ","$50,684 ","16,032","7,741"
12001,"""Alachua, (FL)""",1076,Florida,"$24,857 ","$42,149 ","$62,139 ","249,848","96,043"
37001,"""Alamance, (NC)""",1506,North Carolina,"$23,166 ","$43,043 ","$53,945 ","152,472","60,139"
6001,"""Alameda, (CA)""",109,California,"$35,763 ","$72,112 ","$88,618 ","1,535,248","545,071"
8003,"""Alamosa, (CO)""",2459,Colorado,"$19,487 ","$34,520 ","$49,889 ","15,933","5,891"
36001,"""Albany, (NY)""",210,New York,"$32,328 ","$59,394 ","$81,846 ","305,279","122,700"
56001,"""Albany, (WY)""",1100,Wyoming,"$24,758 ","$42,774 ","$67,949 ","36,745","15,257"
51003,"""Albemarle, (VA)""",81,Virginia,"$37,239 ","$67,725 ","$89,889 ","100,636","37,964"
26001,"""Alcona, (MI)""",1628,Michigan,"$22,719 ","$37,189 ","$45,424 ","10,785","4,863"
28003,"""Alcorn, (MS)""",2538,Mississippi,"$19,145 ","$33,600 ","$43,320 ","37,159","14,679"
2013,"""Aleutians East, (AK)""",736,Alaska,"$26,535 ","$61,250 ","$67,750 ","3,141",435
2016,"""Aleutians West, (AK)""",230,Alaska,"$31,790 ","$81,853 ","$87,159 ","5,538","1,033"
37003,"""Alexander, (IL)""",3109,Illinois,"$13,619 ","$26,972 ","$33,977 ","7,980","2,860"
17003,"""Alexander, (NC)""",2225,North Carolina,"$20,440 ","$40,637 ","$50,123 ","37,071","14,101"
51510,"""Alexandria, (VA)""",5,Virginia,"$54,608 ","$85,706 ","$107,511 ","143,684","65,369"
40003,"""Alfalfa, (OK)""",1688,Oklahoma,"$22,488 ","$44,811 ","$57,604 ","5,674","2,031"
26003,"""Alger, (MI)""",2409,Michigan,"$19,717 ","$37,586 ","$46,083 ","9,497","3,607"
19005,"""Allamakee, (IA)""",1064,Iowa,"$24,926 ","$48,831 ","$56,269 ","14,242","5,862"
26005,"""Allegan, (MI)""",1253,Michigan,"$24,140 ","$52,061 ","$59,509 ","111,742","41,794"
